,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
0,11983,SASKEN-EQ,SASKEN,,-1.000000,1,,NSE,5.000000
1,11983,SASKEN-EQ,SASKEN,,-1.000000,1,,NSE,5.000000
2,822,BANKA-EQ,BANKA,,-1.000000,1,,NSE,5.000000
3,10717,TIMESGTY-EQ,TIMESGTY,,-1.000000,1,,NSE,5.000000
4,30089,ORIENTCEM-EQ,ORIENTCEM,,-1.000000,1,,NSE,5.000000
5,10637,OLECTRA-EQ,OLECTRA,,-1.000000,1,,NSE,5.000000
6,14771,TARMAT-EQ,TARMAT,,-1.000000,1,,NSE,5.000000
7,740,SBIETFIT-EQ,SBIETFIT,,-1.000000,1,,NSE,1.000000
8,206,ASHIMASYN-EQ,ASHIMASYN,,-1.000000,1,,NSE,5.000000
9,24391,DELPHIFX-EQ,DELPHIFX,,-1.000000,1,,NSE,5.000000
10,4911,MADRASFERT-EQ,MADRASFERT,,-1.000000,1,,NSE,5.000000
11,12384,ZIMLAB-EQ,ZIMLAB,,-1.000000,1,,NSE,5.000000
12,4525,DYNAMATECH-EQ,DYNAMATECH,,-1.000000,1,,NSE,5.000000
13,13693,INFOMEDIA-EQ,INFOMEDIA,,-1.000000,1,,NSE,5.000000
14,6543,GRPLTD-EQ,GRPLTD,,-1.000000,1,,NSE,5.000000
15,11731,CONSOFINVT-EQ,CONSOFINVT,,-1.000000,1,,NSE,5.000000
16,330,VALIANTORG-EQ,VALIANTORG,,-1.000000,1,,NSE,5.000000
17,4430,JMCPROJECT-EQ,JMCPROJECT,,-1.000000,1,,NSE,5.000000
18,2183,SUNDARMHLD-EQ,SUNDARMHLD,,-1.000000,1,,NSE,5.000000
19,6733,JINDALSTEL-EQ,JINDALSTEL,,-1.000000,1,,NSE,5.000000
20,1485,IFBIND-EQ,IFBIND,,-1.000000,1,,NSE,5.000000
21,5732,AXISCETF-EQ,AXISCETF,,-1.000000,1,,NSE,1.000000
22,10925,GODREJIND-EQ,GODREJIND,,-1.000000,1,,NSE,5.000000
23,9288,KRITIKA-EQ,KRITIKA,,-1.000000,1,,NSE,5.000000
24,3481,THOMASCOOK-EQ,THOMASCOOK,,-1.000000,1,,NSE,5.000000
25,13751,NAUKRI-EQ,NAUKRI,,-1.000000,1,,NSE,5.000000
26,1196,KANSAINER-EQ,KANSAINER,,-1.000000,1,,NSE,5.000000
